size    seconds     score   tics
1	35	38.554684	62	1028
1	40	98.352988	82	1365   
2	40	53.632497	35	563
1	40	182.891349	131	2412
2	35	193.220408	149	2576
2	40	188.071973	112	1834
3	40	266.293209	142	2580
3	35	268.140054	180	3103
4	40	213.02778	113	2177
4	35	219.645967	159	2712
3	40	488.97619	226	4667
5	35	155.672063	125	2005
5	40	271.735093	158	2760
6	35	202.760548	148	2442
4	40	218.262817	120	2196
7	35	224.42176	162	2795
6	40	422.62806	209	4031
8	35	171.885696	129	2141
5	40	432.055755	212	4250
7	40	204.383145	117	2148
9	35	243.48838	164	2927
8	40	295.526848	163	2992
10	35	191.024614	156	2473
6	40	402.95527	216	3913
9	40	231.537497	132	2454
7	40	234.725846	127	2436
11	35	263.137803	188	3170
12	35	60.003696	47	742
8	40	184.361398	98	1828
10	40	347.751755	168	3401
13	35	231.679784	181	2826
1	50	272.097298	165	3913
1	45	381.085076	192	4098
2	50	247.739885	157	3384
3	50	242.685478	158	3505
2	45	443.504657	214	4573
1	55	1017.20651	267	6776
4	50	357.602203	217	4949
3	45	561.989415	242	5590
5	50	355.177065	216	4967
6	50	245.003145	158	3641
4	45	876.232648	222	4684
2	55	1391.000885	235	6305
7	50	735.367541	210	4484
5	45	634.079577	226	4930
6	45	474.092592	186	3869
3	55	998.181452	202	5141
8	50	1051.531242	269	6658
7	45	647.499089	225	4901
8	45	534.957878	209	4322
9	50	1102.28602	288	6948
9	45	359.598774	140	2946
10	50	347.559466	116	2512
4	55	1597.31297	295	7743
10	45	423.246311	151	3266
11	50	858.857344	245	5478
11	45	660.732281	219	5102
5	55	1159.89126	235	5771
12	45	497.44812	184	3881
12	50	949.503411	252	6047
13	45	355.794296	131	2916
13	50	685.063869	211	4597
14	45	640.854206	232	4993
6	55	1455.789888	281	7146
14	50	465.315395	138	3147
15	45	565.734757	205	4253
15	50	405.038476	133	2765
16	45	429.761349	165	3353
7	55	850.102352	183	4318
16	50	500.718328	157	3324
17	45	610.582554	219	4536
17	50	468.725706	149	3178
18	45	393.205617	160	3094
18	50	394.778732	119	2794
8	55	1245.338401	227	6129
19	45	634.077232	205	4761
20	45	398.177194	154	3260
19	50	867.089597	231	5570
9	55	1065.531496	211	5350
21	45	549.8408	196	4197
20	50	712.673124	207	4639
22	45	384.903634	149	3066
10	55	1057.669791	219	5334
23	45	456.906041	177	3661
21	50	839.951184	229	5366
24	45	462.415529	178	3566
11	55	742.169903	144	3826
25	45	226.286583	103	1859
22	50	970.630722	250	6090
26	45	603.660356	222	4621
12	55	890.494217	181	4580
27	45	317.823508	124	2578
23	50	760.809839	215	4886
28	45	752.264137	257	5565
24	50	961.495336	259	6362
13	55	1419.661103	265	7027
29	45	755.94739	268	5796
25	50	566.540724	168	3816
26	50	209.554281	75	1540
30	45	551.282847	196	4202
31	45	239.902405	99	1959
